league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=24|time=2026-03-28T12:08:20
3,44.2,C++,1740315506588,5789099,2786666,TetraktysPhi,FR,20818693590142,
3,43.6,C++,1773591791982,6315070,2923506,darkhorse64,FR,23496414257567,
3,42.1,C++,1734008955429,5647071,4056249,marwar22,PL,105975464579688,
3,38.37,C++,1773962532838,6332922,3932502,N3l,BE,157991804804357,
3,35.5,C++,1734548876319,5653051,3820709,stanley1,PL,,
3,32.61,C++,1733926284024,5646199,3015376,gaha,PL,159388148716494,
3,25.64,C++,1734557214085,5653214,4427724,AwesomeHunter,PL,,
3,25.48,C++,1743007726098,5820470,1449433,Rolf,ES,11401424939145,
3,22.59,C++,1734095922180,5647983,1295311,Mleczorsky1,PL,,
3,22.57,C++,1767880179785,6195976,6166636,yaichi,JP,,
3,18.94,C++,1733950340370,5646512,3498674,Sko0owi,PL,55177523597915,
3,17.3,C++,1734554040372,5653147,6400105,Gargoyles_and_Santas_Boss,PL,135042440986970,
3,16.29,C++,1734101455726,5648050,5534067,Strzelacz48,PL,105827545515842,
3,16.02,C++,1734653970314,5659584,3810658,MxVisnie,PL,136677008620622,
3,15.43,C++,1756219225735,6022611,6350218,celeria,FR,133470886510046,
3,10.77,C++,1734366383048,5650615,3411702,patrinio,PL,62702263588801,
3,9.73,C++,1740299446488,5788956,1179950,KAKAROT_MPL,US,159019526484654,
3,7.23,C++,1757283297773,6034723,1479930,LeRenard,FR,40384564000700,
3,6.81,C++,1734294832515,5649888,862919,Astrobytes,GB,60413902297900,
3,1.05,C++,1742228692798,5809856,6524101,[CG]OpenAIGPTO1-CPP,FR,140576821413920,
3,-7.25,C++,1734091096502,5647941,6298204,ziemekb,PL,,
1,18.59,C++,1742729973508,5816603,6562705,wpiatkilezewwanie,PL,,
1,4.87,C++,1734235732492,5649296,4908884,InnerVoid,MA,131304862484841,
0,7.66,C++,1749130516152,5881776,6567084,Lagonscint,FR,,
