score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=71|time=2019-12-24T02:04:44
100,109,Go,1567946830000,2288263,dbdr,UA,43448306132121,
100,111,Go,1567946830000,961765,Lorth,FR,1862487678465,
100,113,Go,1567946830000,1629259,Marchete,ES,61997162908277,
100,113,Go,1567946830000,331880,Monstruo,MX,16575963540770,
100,113,Go,1567946830000,1399382,Regulus136,FR,4335723819637,
100,113,Go,1577064325000,155774,dwarfie,FR,17785582865119,
100,122,Go,1567946830000,1740037,ereiam,FR,12669494111004,
100,125,Go,1567946830000,1760921,[Leonardone]-[-_-]-[NEETSDKASU],JP,10001057268421,
100,127,Go,1567946830000,2007852,Zorg1,FR,16542412157988,
100,136,Go,1567946830000,1695697,,,,
100,140,Go,1567946830000,1662464,UPS,UA,9253955818006,
100,147,Go,1567946830000,855492,Erk,FR,2877561401522,
100,152,Go,1567946830000,2549604,Inkberry,RU,20068875111483,
100,153,Go,1567946830000,1712214,_CP,RO,51713368456019,
100,158,Go,1567946830000,2837654,R2B2,FR,,
100,158,Go,1567946830000,154840,Tomu,FR,53841023529304,
100,159,Go,1567946830000,1310368,Firo,CA,,
100,163,Go,1567946830000,347029,Kevapo,FR,4950639196511,
100,173,Go,1567946830000,2786666,TetraktysPhi,FR,20818693590142,
100,177,Go,1567946830000,2806308,Krayorn,FR,21025423639923,
100,177,Go,1567946830000,1177795,Slash-Dev,CH,,
100,182,Go,1567946830000,1502814,LucasGalton,FR,,
100,183,Go,1567946830000,951724,Ka-L,FR,2179307772370,
100,184,Go,1567946830000,1377821,Gautamas,FR,13189533910492,
100,185,Go,1567946830000,1512872,zV3KT0R,RU,13730841784179,
100,188,Go,1567946830000,2687870,tantanchen,US,,
100,191,Go,1567946830000,558770,lD,FR,7979637651523,
100,199,Go,1567946830000,1409461,Myk,BY,12027714926200,
100,207,Go,1567946830000,154901,jybateman,KR,65518381245081,
100,232,Go,1567946830000,1531291,JakobRocke,DE,,
100,297,Go,1567946830000,2377254,peterhellberg,SE,16114386792074,
100,307,Go,1567946830000,2069141,tomeko,PL,13370027887052,
100,322,Go,1567946830000,1889170,mvujas,RS,,
100,330,Go,1567946830000,2139064,Curlymon,US,,
100,360,Go,1567946830000,735910,Agade,CH,1997542876524,
100,367,Go,1567946830000,984260,KapitanOwies,PL,5329194418319,
100,407,Go,1567946830000,2290633,field3,JP,75961127697737,
100,422,Go,1567946830000,322737,Nangini,FR,24010103249126,
100,426,Go,1567946830000,968482,QuickndDirty,DE,2234205967843,
100,441,Go,1567946830000,891648,boechiel,FR,2321504736034,
100,443,Go,1575419439000,2291799,Mauhoi,FR,37760649026318,
100,455,Go,1567946830000,1603956,Goddamndave,US,8003061325790,
100,478,Go,1567946830000,1296804,atenea,FR,,
100,505,Go,1567946830000,1382326,Massoud,IR,4633592500149,
100,508,Go,1567946830000,2097910,nikiforosFreespirit,IT,14358830656753,
100,520,Go,1567946830000,907766,woodlander87,US,,
100,560,Go,1567946830000,869020,M.M.,US,1787510294915,
100,574,Go,1567946830000,1654818,tarapitha,EE,79401682508715,
100,585,Go,1567946830000,3124221,redsux,FR,24639639033895,
100,604,Go,1567946830000,666934,93,KR,22498106211390,
100,604,Go,1567946830000,805067,Magus,FR,24623991925371,
100,620,Go,1567946830000,2146473,lgomezm,US,14058614823774,
100,687,Go,1567946830000,1630193,KurtS,US,,
100,765,Go,1567946830000,1221386,Wolpear,PL,9279725229869,
100,786,Go,1571273993000,1077559,PhOeNyX,FR,2248934338554,
100,788,Go,1567946830000,2768801,dkeye,RU,22765351806763,
100,791,Go,1572828120000,937833,Ommonick,RU,11539171645695,
100,805,Go,1567946830000,1728330,psyeugenic,SE,,
100,900,Go,1567946830000,154984,_Royale,FR,17869369984436,
100,960,Go,1567946830000,2043908,AntiSquid,,,
100,960,Go,1567946830000,1126634,ziggy,IE,,
100,990,Go,1567946830000,1867482,lakrizz,DE,11294692134051,
100,1028,Go,1567946830000,880111,gghez,FR,22659603421991,
100,1053,Go,1567946830000,2438316,Max.St,DE,,
100,1070,Go,1567946830000,788361,Bob,FR,29407964997640,
100,1157,Go,1567946830000,3301162,SILVA,BR,26539725694408,
100,1190,Go,1567946830000,3393186,,GB,,
100,1203,Go,1567946830000,875453,Chapel,FR,9636408345593,
100,1246,Go,1567946830000,2169862,AntoninDurey,FR,,
100,1312,Go,1570062731000,3508157,idefixcert,AT,,
100,1360,Go,1567946830000,1929584,chiefmage,CN,,
