league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=11|time=2024-02-27T04:08:25
3,15.57,Perl,1619052466223,3512592,4216789,Saur2000,SE,59987602214161,
3,14.98,Perl,1468599053367,587460,1131250,Jooo,FR,2588942265671,
2,15.14,Perl,1535967867200,2056195,1484839,sparky,GB,41934483411733,
2,7.75,Perl,1685091675449,4844168,1567782,brt,NL,6297278202178,
2,6.78,Perl,1684707566891,4831294,1411423,Wyllyam,FR,11464394269084,
1,22.4,Perl,1474947200851,713179,1608197,Luun,US,10152388325189,
1,21.04,Perl,1489523881466,1093619,1086214,bor,UA,2314950405832,
1,14.63,Perl,1676374637483,4739376,5340733,Theanonym,RU,98601707542074,
0,15.97,Perl,1469463937237,601503,1496716,RicardoY,BR,5216073784792,
0,5.43,Perl,1606143656582,3314590,2325449,otpv,CA,36646766447960,
0,-1.84,Perl,1593704702587,3027509,3883818,RomanBurkovskiy,US,,
