league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=10|time=2026-05-05T06:08:08
3,31.82,Java,1777654420314,6419066,1920415,bortol,PL,105453680522326,
3,25.86,Java,1692817100896,5036266,893541,wala,FR,97577641170180,
2,27.96,Java,1777761288500,6420790,5839221,Smmurfy,ID,115458024534235,
2,19.67,Java,1777564892450,6417612,311035,leojean890,FR,42398427701382,
1,15.38,Java,1674137806581,4713101,854952,dolmen1234,FR,17144268818519,
1,11.82,Java,1662221599383,4439765,4018239,MACKEYTH,US,52013880765632,
0,9.65,Java,1661516412885,4433250,2508635,hemhel,FR,17633818881669,
0,9.63,Java,1676383634384,4739522,4904327,shwe6,IN,,
0,9.5,Java,1720596931235,5527385,5163410,LOKI_78,LU,93367947956362,
0,9.07,Java,1753703563053,5990974,2455616,JeanClaude44,FR,17042314996810,
