league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=13|time=2025-10-27T04:19:32
0,28.12,C,1752301794820,5917096,2924895,trictrac,FR,23056996012330,
0,27.8,C,1753186970242,5957321,3259100,roody225,PL,63636440412918,
0,26.72,C,1754974470170,6009572,1766582,smugiss,LT,,
0,23.53,C,1677274535116,4750345,4498460,saraneth,HK,73553068287292,
0,22.48,C,1572984448825,2591637,1029602,Potemkine,FR,3592202416352,
0,22.46,C,1716246992428,5383635,3410351,Deltaspace,RU,31254101171655,
0,22.44,C,1626510031594,3755843,2416641,Zenoscave,US,16732569385856,
0,11.74,C,1681565781678,4798338,153256,Achraf_Lyazidi,MA,99214706982457,
0,11.68,C,1574779617447,2611445,889789,Alain-Delpuch,FR,3105645724538,
0,10.31,C,1600500149106,3101848,3787419,Thyl,FR,44847420172903,
0,9.62,C,1611693160176,3404807,4057173,m315,ES,53681343483552,
0,9.15,C,1578410693039,2643531,1783604,Vry,FR,13586498256488,
0,-1.13,C,1592056378478,3012293,3464590,abbecool,CH,33395363139095,
