league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=18|time=2025-04-19T04:10:36
4,21.82,Swift,1587414740181,2826072,3087270,Alex.swift,DE,89948464798168,
4,19.99,Swift,1587393627684,2824411,3740207,violettis,FR,,
4,16.36,Swift,1587394472998,2825043,476340,iRinji,RU,34909489875747,
3,18.7,Swift,1587392886255,2823803,2003085,topshota,DE,34891282552196,
3,16.37,Swift,1594494162795,3033075,2724887,Krizai,NL,44255081841993,
3,15.67,Swift,1587394515233,2825085,3761293,qkey,RU,,
3,14.51,Swift,1587392456461,2823375,3285825,xarnthehero,US,29126166091782,
3,12.69,Swift,1601984018227,3121964,3526447,arm12345,GB,,
2,17.07,Swift,1587393137870,2824043,1478371,ryancrunchi,FR,41748206278064,
2,7.77,Swift,1734810765878,5669733,2691662,Daviar,UA,19630550598466,
1,21.32,Swift,1587393075398,2823987,906305,CORDON_Paul,FR,20948989946417,
1,19.61,Swift,1590362651627,2990983,552543,Patou,FR,63583483199276,
1,19.6,Swift,1587392202859,2823117,1418816,ictor,US,35075420510213,
1,17.62,Swift,1587470164552,2827773,1747292,CodeReaper,DK,9767652986069,
1,16.31,Swift,1587392735338,2823626,1711980,MichaelBreton,FR,9678719294581,
0,11.11,Swift,1700700750830,5113795,4301138,7om0756,AU,,
0,8.41,Swift,1666122896288,4498325,5078538,Agnies,PL,,
0,7.01,Swift,1722539633055,5546270,5905143,Gallito_2,US,117342644818718,
