score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=13|time=2025-09-28T04:10:37
100.0,203.0,Bash,1717705795198,4438505,Eric_[EGU],FR,114044329618574,
100.0,284.0,Bash,1725721565897,973040,papyjo,FR,15696776172839,
100.0,710.0,Bash,1686028795112,5135323,__yel__p,FR,92869880984408,
100.0,780.0,Bash,1681603803957,4263196,yechielv,IL,87806028604243,
100.0,799.0,Bash,1681477355998,3354337,Westicles,CX,79146641399080,
100.0,828.0,Bash,1681242913936,3845610,pardouin,FR,60364063762936,
100.0,1581.0,Bash,1757704117870,6132028,NicknamedTwice,GB,136778820182751,
100.0,1619.0,Bash,1697476439021,2874091,5DN1L,GB,134264063920528,
100.0,5347.0,Bash,1680167550019,2306291,BadBurger,FI,15669153254878,
0.0,563.0,Bash,1728396664237,6315178,Mikulas,CZ,,
0.0,563.0,Bash,1749531239271,6679709,,IN,,
0.0,569.0,Bash,1757390426533,6827992,A1exB0ss,US,,
0.0,575.0,Bash,1692359283449,5512174,hamzozo,EG,109902526093810,
