league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=11|time=2026-06-29T08:46:38
3,41.83,C++,1781890978718,6518874,2536538,Pduhard-,FR,141372882868918,
3,36.39,C++,1776561457639,6398676,3647844,rc95401,US,39486169555819,
3,34.2,C++,1770713265405,6243138,1179950,KAKAROT_MPL,US,159019526484654,
3,31.3,C++,1766424283998,6169526,6166636,yaichi,JP,,
3,24.84,C++,1782372166749,6526208,5160622,Unsupervision,US,151542329218417,
3,24.82,C++,1750162466904,5893029,1479930,LeRenard,FR,40384564000700,
3,19.82,C++,1752240536677,5916164,2786666,TetraktysPhi,FR,20818693590142,
3,16.92,C++,1752177635908,5915486,4897832,DrMeyss,RE,83988905905404,
3,12.78,C++,1774962134772,6367090,6416057,brend314,US,,
3,12.66,C++,1748650304809,5876201,862919,Astrobytes,GB,60413902297900,
1,23.35,C++,1781807286761,6518011,3903473,Konstant,PL,47882887732604,
