league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=12|time=2026-02-09T05:22:05
4,24.03,Perl,1496305560752,1309287,1484839,sparky8342,GB,41934483411733,
4,19.59,Perl,1496305545477,1309238,1086214,bor,UA,2314950405832,
4,18.65,Perl,1619019971372,3512041,1592513,MindFucc,DE,6958865404639,
4,17.84,Perl,1709862808457,5335434,5807573,Stephen Kondaveti,US,120619186703150,
4,15.75,Perl,1583164526355,2692760,1886665,Ficek,PL,22252265670407,
4,12.35,Perl,1667755101506,4517870,2365574,jonas-janne,SE,,
3,16.16,Perl,1762974167057,6091913,4687360,thomas.schuerger,DE,77623682146098,
3,11.18,Perl,1617264008273,3483132,2445783,johanberonius,SE,16916773258340,
3,10.84,Perl,1495818190091,1302790,1608197,Luun,US,10152388325189,
1,14.3,Perl,1580481165635,2666783,2379887,aMaze,SE,,
1,10.19,Perl,1632863627146,3845707,2325449,otpv,CA,36646766447960,
0,9.91,Perl,1676565910133,4741900,5340733,Theanonym,RU,98601707542074,
