league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=12|time=2025-10-20T04:15:44
4,24.06,Perl,1496305560752,1309287,1484839,sparky8342,GB,41934483411733,
4,19.65,Perl,1496305545477,1309238,1086214,bor,UA,2314950405832,
4,18.74,Perl,1619019971372,3512041,1592513,MindFucc,DE,6958865404639,
4,17.91,Perl,1709862808457,5335434,5807573,Stephen Kondaveti,US,120619186703150,
4,15.83,Perl,1583164526355,2692760,1886665,Ficek,PL,22252265670407,
4,12.35,Perl,1667755101506,4517870,2365574,jonas-janne,SE,,
3,11.08,Perl,1617264008273,3483132,2445783,johanberonius,SE,16916773258340,
3,10.92,Perl,1495818190091,1302790,1608197,Luun,US,10152388325189,
2,7.54,Perl,1644273052029,3996470,4687360,thomas.schuerger,DE,77623682146098,
1,14.29,Perl,1580481165635,2666783,2379887,aMaze,SE,,
1,10.24,Perl,1632863627146,3845707,2325449,otpv,CA,36646766447960,
0,9.83,Perl,1676565910133,4741900,5340733,Theanonym,RU,98601707542074,
