league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=78|time=2021-09-07T00:30:04
1,36.43,C++,,3763762,3136787,jacek,PL,75369242083208,
1,32.06,C,,3787752,2924895,trictrac,FR,23056996012330,
1,27.93,C++,,3763019,1306813,sprkrd,ES,3876179544657,
1,19.66,C++,,3706603,888898,helgui,RU,22560718540069,
1,19.28,C++,,3534648,1489865,EricSMSO,FR,10005277870281,
1,18.27,Rust,,3790411,3864752,MuddySneakers,US,45990545847301,
1,17.68,C#,,3748205,1378958,Illedan,NO,16222515698472,
1,17.2,Go,,3791349,4178870,hanabi1224,US,58671224277450,
1,15.87,C,,3785965,4454468,KNTK,FI,68528964132543,
1,14.31,C++,,3786969,4245841,ADsun,IR,64010584409255,
1,13.52,Python3,,3789581,792813,VilBoub,FR,72010225615995,
1,13.52,C++,,3525238,1479930,LeRenard,FR,40384564000700,
1,13.51,C++,,3714128,3792309,schachmatt,DE,58313205988826,
1,13.42,Python3,,3787628,4447915,Spy-HERETIC[CZE],CZ,68296421674203,
1,13.4,TypeScript,,3801169,2782504,TimMcManus,FR,70398664355426,
1,11.43,C#,,3784981,4447108,MonkeyFeathers,NL,68439965851242,
1,11.19,Python3,,3810170,4438822,ludodul,FR,68181920388772,
1,10.89,C++,,3786963,4403827,HMaker,DE,,
1,10.13,C++,,3752835,862919,Astrobytes,GB,60413902297900,
1,10.01,Python3,,3792071,1754421,GuyBarash,IL,9930509564239,
1,9.55,TypeScript,,3795993,1005007,neorel,FR,44124740161644,
1,8.94,F#,,3787079,973040,papyjo,FR,15696776172839,
1,8.31,Python3,,3533323,3903473,Konstant,PL,47882887732604,
1,7.9,Java,,3803695,4437124,BBou,DE,,
0,15.3,Python3,,3803805,4441094,Oric1,FR,68215368870645,
0,15.3,TypeScript,,3801718,1795893,codingcri,FR,10481321717136,
0,14.06,TypeScript,,3672996,3706223,Yab94,FR,44522528933683,
0,13.62,C#,,3786424,4464625,Zheem,DK,68845727617183,
0,13.17,C++,,3788713,3513265,DaNinja,IE,35022107863170,
0,11.01,Python3,,3771984,3494301,CoreyCV,US,,
0,10.26,PHP,,3523884,1412263,PatrickMcGinnisII,US,75707267075165,
0,9.17,Python3,,3525766,2290633,field3,JP,75961127697737,
0,8.46,Javascript,,3787035,4084909,bluehipy,DE,59108125311613,
0,8.42,Python3,,3687607,1802808,EnderWiggins,IN,12139002237558,
0,8.41,C++,,3794718,4436635,Kardoken,FR,67939560780566,
0,8.32,Javascript,,3789225,3932889,Portokali,NL,,
0,8.17,Python3,,3786314,1800997,The_ZimaBlue,IN,95629881461770,
0,8.14,Python3,,3787044,4463709,X_mind_X,CA,,
0,8.14,PHP,,3797841,222665,borrel,NL,,
0,8.09,Javascript,,3791477,3831646,EPK_Rubi,US,48981726537000,
0,8.05,C++,,3789446,3207606,TobiasA,NG,68718744735597,
0,8.05,Python3,,3786896,4321051,YasmineTmar,TN,68797321391448,
0,8.04,C++,,3522934,1540478,struct,PT,61418101984360,
0,8.03,Python3,,3785904,4382346,-Abaddon-,US,,
0,8.03,Python3,,3802920,3721214,jrke,IN,68983084061211,
0,8.03,D,,3520583,3569066,derjack,MC,64869146225502,
0,8.02,C++,,3786950,4431618,Khululeka,NL,67819501363741,
0,8.01,Javascript,,3786331,4038158,Aayush.Curious,NP,55906086817553,
0,8.01,Java,,3790106,3697148,Poostang,CA,40957782569421,
0,8,C#,,3786450,4452030,MQotb,EG,,
0,7.99,C#,,3785155,4450463,RickJ,DE,72627424588600,
0,7.98,C++,,3677364,354788,Lexer31,FR,60198468830213,
0,7.98,Java,,3788383,4462061,pablo-peris,ES,68642503047901,
0,7.98,Python3,,3789211,4449756,greyhat1003,NL,,
0,7.97,Python3,,3788327,4396180,Manusse,FR,70358383977838,
0,7.96,Python3,,3735782,862888,Jumpmaster,US,61974182334796,
0,7.96,C++,,3789923,4427964,alex1272162,US,67552622569217,
0,7.96,Python3,,3790806,3940182,Misiek3593,PL,69164124441764,
0,7.96,Python3,,3786254,4422452,Badre2dine,FR,95888948269434,
0,7.95,VB.NET,,3789796,3546859,CamTheGreat,CA,43818045367089,
0,7.94,C#,,3787200,2765865,Lehanius,BR,20867405276929,
0,7.94,Java,,3522917,4251195,Smelty,US,62842162200886,
0,7.94,Lua,,3520384,3354337,Westicles,CX,79146641399080,
0,7.94,Javascript,,3522793,4130841,Digginwings,US,62085125607117,
0,7.94,Python3,,3522841,1713174,BigUP,FR,9962854189979,
0,7.93,Perl,,3533321,2325449,otpv,CA,36646766447960,
0,7.85,Ruby,,3789126,4269698,5ALID,JO,103532821191279,
0,7.83,Java,,3787661,1660968,Greedo,FR,7942102215203,
0,7.78,C++,,3789905,4232671,ramdos,JP,105369761641185,
0,7.73,C#,,3788767,3881459,IkanAjaib,ID,49898306482978,
0,7.68,C#,,3793084,4430070,SamuelCDA6,FR,67614689368569,
0,7.42,Python3,,3806354,2629686,krutovsky,RU,63687047025682,
0,6.2,TypeScript,,3788407,4389178,LeBastIan,DE,66984849026924,
0,5.43,C#,,3794582,1367088,magus2,US,21988998463555,
0,5.27,C#,,3786774,231849,Valcriss,FR,2040661302109,
0,2.36,Python3,,3790489,4466284,Kloppermand,DK,68878743560332,
0,-11.01,Python3,,3786815,4407720,GuiOdeSa,BR,67027369675147,
0,-11.04,Java,,3529316,2043908,AntiSquid,,,
