league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=24|time=2024-03-16T04:07:09
5,22.58,Kotlin,1535563501448,2051995,2155687,NilsTheWizzard,DE,15809623609677,
5,21.76,Kotlin,1622567122141,3696913,3226448,tobk,DE,34085008032999,
5,18.84,Kotlin,1650230784669,4078351,3996809,VizGhar,SK,82217880354500,
5,17.39,Kotlin,1564495188350,2457013,1855741,MrKIP,BY,12262606641618,
5,7.59,Kotlin,1560279107977,2419099,1548000,Whiteouter,CZ,33161062429262,
5,7.4,Kotlin,1535892592280,2055347,2489304,Yawp,FR,,
5,5.68,Kotlin,1535563523997,2052035,1223140,kgautron,FR,12231900040573,
5,5.26,Kotlin,1535563559249,2052079,2521394,FrankR,DE,17824978575149,
4,17.58,Kotlin,1588698347409,2848655,729862,mracsko,CH,44039707476714,
4,15.05,Kotlin,1695260877314,5057067,805979,Tehel,FR,2731919976479,
4,14.74,Kotlin,1664549986394,4475259,585242,svorcmar,CZ,64833860231957,
4,14.44,Kotlin,1532289558117,1962821,1845617,Shingy,AU,26010702723839,
4,12.7,Kotlin,1689541376689,5005345,3476425,_UncaughtException_,DE,74338441942064,
4,11.54,Kotlin,1607285658635,3342651,2225200,WildRhum,FR,18754376132950,
4,10.0,Kotlin,1537736952046,2077990,1167096,exfalso,HU,,
4,9.72,Kotlin,1618773684704,3508178,4193469,yannick-t,DE,62651080430734,
4,-4.69,Kotlin,1599987818648,3094066,385696,aldrinm,PT,85453685924693,
3,15.91,Kotlin,1591047562345,3000648,1523934,Touggo,FR,44508168707784,
3,15.31,Kotlin,1531646600600,1953013,1926967,Stanworld,FR,11941603857102,
3,15.18,Kotlin,1537317963084,2071193,2720216,ilgiocatore,RU,55263688781564,
3,9.58,Kotlin,1546566701258,2209297,3039456,SabertheLost,SE,,
3,4.99,Kotlin,1531418427007,1949584,1515891,ndc,RU,57247748477088,
1,5.29,Kotlin,1608318849181,3360464,4061750,dStulle,DE,53854800950845,
0,9.76,Kotlin,1573556097377,2597478,3360779,Lundez,SE,,
