league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=10|time=2024-11-01T04:10:36
6,12.75,TypeScript,1651837227258,4270895,2998967,Gilde,FR,62190109872577,
4,15.83,TypeScript,1642904826405,3980851,252533,AlexSurin,RU,75568268871335,
4,12.84,TypeScript,1629460022211,3797141,1685538,NoctalIvan,FR,18191684827813,
2,10.42,TypeScript,1691864738259,5028582,3836740,lastlife,RU,,
1,17.54,TypeScript,1602490529396,3129441,2048763,Mickev,FR,48745204870870,
1,17.02,TypeScript,1578438823395,2643919,2373953,Dridriun,FR,64609504937617,
1,16.83,TypeScript,1691735729465,5027586,5634850,YuYan_Peng,CN,109131522178873,
1,16.69,TypeScript,1617912198289,3492981,1541145,Minstriker,CA,,
1,11.67,TypeScript,1682621934338,4809055,2743042,plecrx,FR,93051468649851,
1,7.13,TypeScript,1593519124888,3026368,2921599,Rinoweb,FR,22420100477650,
