league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=12|time=2024-08-24T04:08:48
1,26.1,C#,1614948735390,3450614,594697,dimulien,RU,59829203485498,
1,22.76,C#,1707682194538,5311614,4605393,Emanuele.Fasano,IT,73508624038382,
1,21.48,C#,1689426974052,5004477,1186250,Gabbek,PL,3084076624888,
1,18.46,C#,1657668332267,4391503,3563934,ChuckTheNinja,US,50520780935948,
1,18.31,C#,1614198403500,3440801,2434732,shirokov.alex,RU,72526247502946,
1,14.36,C#,1673648466389,4705204,2481767,Jumble28,CA,99306323085652,
1,11.43,C#,1649422465980,4066908,1834018,Peacemaker,RU,10880453870147,
0,13.47,C#,1612386459394,3416800,3274956,LeProfesseur,FR,,
0,11.3,C#,1625581399724,3744015,2069141,tomeko,PL,13370027887052,
0,10.46,C#,1638128304115,3912105,4584888,Frizlee,ID,,
0,10.32,C#,1673812668639,4707937,2824008,OccitanieFreelancer,FR,22557072925785,
0,9.62,C#,1626119849458,3751283,4298841,Dapps,CA,64238669570457,
