score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=17|time=2021-06-25T00:55:18
100,181,Clojure,1595550644000,1654818,tarapitha,EE,79401682508715,
100,182,Clojure,1567946837000,1629259,Marchete,ES,61997162908277,
100,183,Clojure,1567946837000,2178794,Unihedron,HK,17500773502453,
100,212,Clojure,1604969267000,1848459,Velcoro,CZ,48538649860014,
100,227,Clojure,1618981094000,1179950,Patorikkuyatta,FR,94806006573123,
100,228,Clojure,1567946837000,155774,dwarfie,FR,17785582865119,
100,281,Clojure,1591317043000,968843,Average,FR,,
100,302,Clojure,1582074235000,371603,martin,CA,1761380964089,
100,376,Clojure,1567946837000,2662239,MarvinTheMartian,DE,19282729082244,
100,479,Clojure,1567946837000,3420245,strinsberg,CA,32153747623415,
100,563,Clojure,1567946837000,2718312,boogie666,RO,29148044564979,
100,645,Clojure,1567946837000,1740037,ereiam,FR,12669494111004,
100,2135,Clojure,1599967652000,3354337,Westicles,CX,79146641399080,
0,0,Clojure,1624432245000,3968399,dormeur2009,FR,49866926833934,
0,194,Clojure,1610598672000,3845610,pardouin,FR,60364063762936,
0,422,Clojure,1624432245000,4233851,,US,,
0,434,Clojure,1624432245000,4254777,,US,,
