league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=21|time=2023-12-16T04:07:29
9,15.32,Go,1525551837093,1843620,2007852,Zorg1,FR,16542412157988,
7,19.46,Go,1522255402445,1751162,1607522,RoboStac,GB,11333369102997,
7,16.85,Go,1658265908127,4399218,1494823,duburlan,RU,5435587138590,
7,16.52,Go,1522310902210,1752002,347029,Kevapo,FR,4950639196511,
6,15.06,Go,1658758386643,4405586,519892,LaFut,RU,12896525950537,
6,14.88,Go,1522151468710,1749351,1948029,matscube,JP,54236723255287,
6,12.42,Go,1657997860206,4395538,4991570,rewle,RU,,
6,10.82,Go,1658170084345,4398059,4995915,wickedweasel,RU,115375944109019,
6,5.8,Go,1527500975776,1867639,2627770,skido,UA,18802213173287,
6,5.79,Go,1669810678246,4546249,1680988,.[-_-].,US,30413644102236,
3,15.07,Go,1630059916341,3803538,1678226,Neoghost,FR,43003842830104,
3,15.0,Go,1605168240177,3174007,527749,Pds,FR,4195444247778,
3,14.94,Go,1523542653692,1770791,1069541,jhanni,HU,,
3,14.93,Go,1641808018426,3965886,3156706,ktotam,RU,,
3,4.83,Go,1533486797170,2000104,2688693,Catagami,NL,19560525429680,
3,2.63,Go,1657548224114,4389910,4652704,Warmbellycat,RU,,
1,-4.87,Go,1609184548272,3372183,1771241,ByteKiller,RU,19297686116011,
0,7.91,Go,1658133872431,4397306,3086328,ShadowSpirit,RU,,
0,7.57,Go,1658149971772,4397599,4995855,bpc16,RU,,
0,6.83,Go,1698313095264,5087759,227289,kratisto,FR,113552405784800,
0,6.41,Go,1692722152918,5035536,5569888,Blue_Donkey,US,,
