league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=31|time=2025-12-25T04:28:43
5,23.96,Go,1470261636016,614824,1413236,Medici,CN,4357806712110,
5,21.73,Go,1475661824642,749099,715319,poksh,NL,1750588470839,
5,19.56,Go,1496722352006,1315300,527749,Pds,FR,4195444247778,
4,24.03,Go,1469645635451,604910,1375394,guillaume_000,FR,4041595109098,
4,19.68,Go,1470239535141,614188,828213,anst,FR,1734651202684,
4,18.16,Go,1535660054015,2053123,1680988,.[-_-].,US,30413644102236,
4,17.81,Go,1470163931030,612980,945054,Blem,FR,1776354267961,
4,16.53,Go,1699874924886,5104866,4773293,xoban,CH,114723420344478,
4,13.7,Go,1595484744014,3040280,1502814,LucasGalton,FR,,
2,18.29,Go,1489011981497,1081112,855492,Erk,FR,2877561401522,
2,17.29,Go,1669716129413,4544911,1494823,duburlan,RU,5435587138590,
2,16.95,Go,1473176816724,653122,964183,Dasgard,FR,113665346639797,
2,16.82,Go,1485519689287,940603,944365,thomas.colibert,FR,8227629073847,
2,16.7,Go,1656873350167,4377349,4865140,demetedPufferfish,US,107758507137957,
2,16.53,Go,1504644888284,1444032,1316807,Edwardadd,GB,12355913786943,
2,16.15,Go,1541080447805,2116065,622213,Ornicare,FR,15812528520376,
2,13.82,Go,1489083748155,1083850,1804095,Poilo,FR,14981463645891,
2,11.88,Go,1610211863481,3384638,1077506,gs2,RU,86701601221288,
2,3.16,Go,1493171678072,1212992,1712255,Ukster,FI,,
1,19.15,Go,1732623867199,5635321,3985393,knght,DE,95495126466638,
1,18.96,Go,1671518273602,4604977,1653268,YikeyYikes,ZA,10995117737856,
1,18.75,Go,1617675858680,3488871,2675776,DGBlueWolf,US,61775427223000,
1,15.08,Go,1472809170089,649117,1500051,MoonhoChoi,KR,,
1,13.0,Go,1753795499643,5995884,984260,KapitanOwies,PL,5329194418319,
1,12.59,Go,1689165054253,5001906,4915265,Alexis.B.,FR,84685622064620,
1,8.28,Go,1486045933125,947490,1688877,brodo,DE,8765352920973,
0,13.61,Go,1473637810322,660266,1533991,Asfalots,BE,5830014190221,
0,10.16,Go,1616679428163,3475403,2108962,DeveauP,FR,18954230009382,
0,9.0,Go,1480993387086,873099,1732610,TheoriginalReaper,US,9505313059892,
0,8.99,Go,1698778732696,5092776,5392984,TequilaDave,US,,
0,8.95,Go,1679416912512,4773458,5341137,ElusiveLens,US,98694764125046,
